High card. [4S, 8C, 9H, TS, KC] < High card. [2S, 3S, 5D, 7D, AC]
High card. [3C, 5S, 7S, 9D, TH] < High card. [2H, 5H, 8S, 9C, QH]

High card. [2S, 5D, 6H, 9H, JS] < High card. [2H, 3H, 5S, 7C, KH]

One pair. [2C, 5D, 5S, TC, JD] < One pair. [2S, 3C, 6S, 6C, 8S]

One pair. [2D, 4D, 4H, 8H, KH] > High card. [2S, 3H, 5C, 9H, KS]

High card. [2D, 3S, 7H, 8S, TD] < High card. [6H, 8D, 9C, JD, KC]

High card. [6S, 7C, 9H, JH, QD] < Two pair. [5H, 8S, 8H, TH, TD]

Two pair. [7S, 7D, TD, TS, QS] > High card. [2C, 3C, 7C, JC, KD]

High card. [2D, 3C, 4H, 8S, JD] < One pair. [2S, 4D, TD, AS, AC]

One pair. [4C, 4S, 6C, KS, AH] > High card. [6H, 7D, 8C, 9H, AS]

High card. [2C, 3C, 5S, 9S, QS] < One pair. [4D, 4S, 5D, KD, AC]

One pair. [2D, 2C, TS, JS, KH] > High card. [5D, 8C, QH, KC, AS]

High card. [3H, 6C, 8S, TH, KD] < High card. [6H, 7S, 9S, KH, AC]

One pair. [6H, 6C, 7S, QS, AH] < Two pair. [2S, 2H, 4H, 5D, 5H]

One pair. [2C, 2S, 5H, JC, QD] > High card. [6S, 7D, JD, QC, AS]

High card. [6C, 8H, TC, KD, AS] < One pair. [2C, 7D, 9D, 9S, JH]

High card. [2H, 4C, 6C, 8S, AH] < Three of a kind. [3H, 7C, TD, TH, TS]

High card. [4S, 6C, TS, QH, KD] < One pair. [7D, 8D, 9D, 9C, AH]

One pair. [5C, 6D, JS, QD, QC] > High card. [2H, 5D, 8C, 9C, KD]

High card. [3C, 6S, JH, QH, AD] < One pair. [6D, 6H, 8S, KC, AH]

One pair. [3D, 4C, 5S, 7C, 7S] > One pair. [3S, 3C, 5H, 6S, JC]

One pair. [3C, 3S, 5H, 7C, QH] > High card. [4C, 8C, 9C, TS, KD]

One pair. [3S, 5H, 7S, 7H, QD] > High card. [7C, 8C, JC, QH, KD]

One pair. [2S, 3C, 4C, KD, KH] > High card. [2C, 6S, 7C, TS, AC]

High card. [2C, 3C, 4C, 6H, KH] < One pair. [4D, 5H, 5S, 7S, QD]

High card. [4D, 7C, 8S, TS, QD] < One pair. [3C, 6H, 9D, KS, KD]

One pair. [4D, 4C, 7S, TS, QS] > High card. [3H, 8D, 9S, TC, QD]

High card. [3C, 6S, TS, QH, AC] < One pair. [6H, 8S, 9H, 9D, QS]

High card. [3S, 4S, 5D, 7S, JS] < One pair. [2D, 6C, 6S, TH, QH]

One pair. [4C, 4H, 5D, JS, AS] > High card. [3D, 8S, 9C, TS, AC]

High card. [3S, 5C, 6S, 7C, 9C] < One pair. [3C, 6H, QS, AD, AS]

High card. [3H, 6S, 7H, 8C, 9S] < High card. [7C, 9H, JD, KH, AS]

One pair. [3D, 3H, 4D, 6C, 7S] > High card. [2H, 7C, 9C, TH, AC]

High card. [3H, 4H, 5S, TC, AC] < Three of a kind. [8D, 9C, 9H, 9S, TH]

High card. [4D, 5H, 6C, 8D, 9H] < High card. [2H, 3S, 5D, 6S, QD]

One pair. [4C, 4D, 5C, JD, QS] > High card. [3H, 8C, TH, QH, AC]

High card. [3C, 5S, 7H, QC, AD] < One pair. [4C, 4H, 6D, JD, KS]

High card. [3H, 9H, QS, KS, AH] < Two pair. [2S, 2H, 5H, JS, JH]

One pair. [2H, 5S, 6S, TH, TS] > One pair. [3S, 3C, 5H, JS, KS]

High card. [2D, 3D, 7H, 9S, KC] < One pair. [6D, 7D, TD, JH, JS]

One pair. [2C, 8H, 8C, JS, AC] < One pair. [2D, 7S, TH, JH, JC]

High card. [2H, 3D, 5D, 8H, 9S] < High card. [9C, TC, JC, KD, AH]

High card. [2H, 6D, 9D, JC, QD] < One pair. [9S, TS, TH, QH, KH]

High card. [2C, 4S, 5H, 8D, JD] < One pair. [3H, 9C, TH, TC, KC]

High card. [3D, 4D, 7D, 9H, AS] > High card. [2H, 3H, 7S, TH, KH]

High card. [2S, 4H, 7S, JS, KS] < One pair. [2H, 8S, 8D, TS, QD]

High card. [5S, 6H, 8H, JH, KS] < High card. [2S, 3S, 6S, QC, AC]

One pair. [8H, JC, QS, AS, AD] > One pair. [4C, 4D, 6C, QD, KH]

One pair. [2S, 3D, 9S, TS, TD] > High card. [5C, 6S, 8D, QS, KS]

High card. [3C, 4S, 6D, QC, KC] < High card. [TH, JH, QD, KH, AD]

High card. [2S, 4D, 9H, KS, AH] < One pair. [7C, 8D, JH, JC, QS]

High card. [2D, 3C, 6C, 8H, TH] < One pair. [2S, 3S, QD, QH, KS]

High card. [4C, 5D, 6H, 9S, TS] < One pair. [9D, TD, JS, JD, QD]

Two pair. [5H, 8H, 8S, KH, KS] > High card. [4S, 7C, TD, KD, AD]

High card. [2C, 5S, 7C, JC, AS] > High card. [5H, 6C, 7D, 8S, 9C]

High card. [6S, 9S, TS, QD, KH] < One pair. [3C, 5S, QS, QH, KC]

One pair. [3H, 3C, 5C, 7D, KD] < One pair. [6H, 7H, JH, JD, AS]

One pair. [5C, 8H, 9D, 9H, KC] > One pair. [2S, 4S, 4D, KS, AD]

High card. [2S, 3S, 8D, JD, QD] < One pair. [5S, 5H, 6S, 7C, TS]

High card. [3S, 6D, 9S, TD, KC] > High card. [5C, 6H, 8D, JD, QD]

High card. [5H, 8D, 9D, TS, KD] > High card. [4C, 6H, 7D, TD, QC]

High card. [4S, 6D, 9D, JD, AH] < One pair. [9S, 9H, TD, QD, AS]

One pair. [2D, 2H, 5S, 6H, 9C] < One pair. [7D, 9S, TD, TC, QC]

One pair. [2H, 2C, 3S, TS, KS] < One pair. [7D, 8S, 9C, 9D, JS]

One pair. [3C, 5D, 6D, 6C, KC] > High card. [6H, 7S, 8S, QS, AS]

High card. [2H, 4C, 8D, 9S, JH] < High card. [8H, 9H, TH, KH, AD]

High card. [2S, 5C, JS, QC, AS] > High card. [2C, 3H, 6H, 7H, KD]

One pair. [2S, 3S, 8H, 8D, QD] > High card. [2C, 5C, 6D, TC, AH]

One pair. [3H, 8S, TS, JD, JS] > High card. [5D, 6H, TD, JC, KC]

High card. [3H, 5D, 6S, TC, QS] < One pair. [4H, 7C, 7D, JC, AH]

High card. [2H, 5D, 7C, 8H, 9C] < High card. [2C, 5S, 9H, JH, KH]

High card. [3S, 6S, 7H, 9C, TH] < One pair. [4C, JD, QC, QD, AC]

High card. [2H, 5D, 7D, 9S, KC] < High card. [2D, 3S, QS, KH, AS]

One pair. [2S, 2H, 4S, 5C, 7D] < One pair. [4D, 9S, TD, TH, QH]

One pair. [3S, 4H, 6D, 6H, TS] > High card. [2D, 5S, 8H, 9D, KS]

High card. [3S, 4H, 5C, 9H, KS] < One pair. [5D, 6H, 6S, JS, KH]

High card. [4C, 8C, JC, KC, AS] < One pair. [TH, QC, QD, KH, AH]

High card. [2C, 5H, 6S, 9S, KH] > High card. [3C, 4D, 7H, TC, JC]

High card. [4S, 5S, 6S, 8D, JD] < Two pair. [2H, 4D, 4C, 7H, 7S]

One pair. [5D, 7H, 9H, 9C, KH] < Two pair. [5H, 7C, 7S, TS, TC]

One pair. [4C, 4S, 8D, TS, QC] > High card. [3D, 7C, 9H, JS, AD]

One pair. [3H, 5C, 5D, 8C, QS] > High card. [4S, 9D, JS, KC, AH]

One pair. [8S, TS, TH, JD, QS] < One pair. [2D, JH, JS, QD, KH]

High card. [5D, 6S, 9H, JD, QC] > High card. [2C, 3S, 8H, 9S, TS]

High card. [2S, 4C, 7H, JC, AD] > High card. [2D, 3D, 4H, 5C, 6D]

High card. [2C, 4H, 7S, 8C, JS] < High card. [3S, 9C, TD, QD, AD]

High card. [4C, 6H, 9H, TS, JD] < High card. [3C, 6D, 7D, QD, AS]

High card. [4C, 5D, 6S, 7C, AS] < One pair. [4S, 5S, 5C, JS, QC]

High card. [3C, 6S, 7C, 9S, KD] < One pair. [5S, 7D, JH, JS, QD]

High card. [2C, 4S, 7S, 8S, JH] < High card. [3D, 5D, 7H, QH, AD]

High card. [2H, 4H, 6H, 8D, TD] < High card. [2D, 5D, 7C, KH, AD]

High card. [2C, 3S, 5H, TS, QD] < High card. [2S, 5C, TD, KH, AH]

High card. [4D, 5D, 8C, KC, AS] < One pair. [2H, 2S, 6C, 7C, 9H]

One pair. [TS, JS, QC, QS, KD] > High card. [2C, 5D, JH, KH, AD]

High card. [3S, 5H, 6C, 9H, KC] < One pair. [2H, 3H, 7D, 7S, AD]

One pair. [7S, 8S, JS, JH, KD] < Two pair. [2S, 2H, 7D, 7C, 9H]

High card. [2D, 6S, 8D, 9H, QC] < One pair. [5H, 6C, 8H, AD, AS]

Two pair. [2S, 6C, 6D, 7H, 7D] > High card. [3C, 5D, 8C, 9D, JC]

One pair. [2H, 7C, 7H, 9C, JD] < One pair. [3S, 4S, KD, KH, AD]

High card. [4D, 9H, JD, QH, AS] < Three of a kind. [5H, TS, KS, KD, KH]

One pair. [3S, 3D, 4C, 5S, 8H] < One pair. [7D, 7S, TD, KC, AD]

Two pair. [5S, 8S, 8H, JS, JC] > High card. [4D, 5D, 9C, TH, KC]

High card. [2C, 5S, 7C, 9C, QD] < High card. [5H, 8D, JS, QH, KH]

High card. [2S, 3D, TD, KS, AD] > High card. [3C, 5D, 7S, TC, KC]

High card. [2S, 4C, 6C, QS, AD] < One pair. [5C, 9S, TH, QD, QH]

One pair. [2D, 2S, 8C, QS, AD] < Two pair. [6C, JD, JC, KC, KS]

High card. [2H, 4D, 5D, 8D, JS] < Two pair. [7S, 7D, TS, QD, QH]

One pair. [3S, 6S, 7H, 8C, 8S] < One pair. [6C, 8H, 9D, 9S, QS]

High card. [2S, 4S, 5C, TC, QD] < One pair. [4D, 6D, 6S, TH, QS]

High card. [3S, 5C, 6H, 8D, 9D] < Two pair. [4C, 7D, 7C, TC, TD]

One pair. [5S, 6S, 7H, AH, AS] > High card. [3H, 4C, 5H, KD, AC]

One pair. [8D, 8S, QS, KS, AH] > High card. [2C, 5D, 6H, 7D, AD]

One pair. [2H, 6H, 9H, 9S, QS] > High card. [2D, 5D, 8S, 9C, KD]

High card. [5S, 7D, TS, JH, QC] < One pair. [7S, 9S, 9H, TH, AC]

High card. [3H, 4D, 6S, 7H, KC] > High card. [4S, 5C, 6D, TS, QD]

High card. [2S, 3H, 7C, TD, QD] < One pair. [4H, 7S, 7H, 9D, JH]

High card. [3D, 4H, 5H, TC, KS] < One pair. [2S, 2D, 6D, 7D, AS]

One pair. [3C, 3H, 7H, 8H, TD] < One pair. [9C, TH, KC, KH, AD]

One pair. [2C, 4C, 9S, 9D, TC] > High card. [2H, 3C, 5C, 9C, JD]

One pair. [3H, 5D, TS, AC, AD] < Two pair. [6H, 6S, 8D, 8C, QC]

High card. [2S, 3S, 7H, TS, JD] < One pair. [4C, 5S, 8S, 8D, QH]

High card. [3C, 4S, 6C, KH, AC] < One pair. [2D, 2H, 3D, 7C, 8S]

High card. [2H, 4H, 6C, 8S, TH] > High card. [3H, 4S, 7S, 8H, 9S]

Flush of C. [2C, 4C, 5C, 7C, 9C] > High card. [4D, 5D, QH, KD, AS]

High card. [4H, 7D, 9H, TS, AS] < One pair. [2H, 5D, 8D, 8C, 9S]

One pair. [2H, QC, KD, AC, AD] > High card. [2D, 3S, 7S, 9S, AS]

High card. [2H, 6D, 8H, TC, QC] < One pair. [3C, 5D, QD, QS, KH]

High card. [2S, 4C, TH, JD, QS] < One pair. [3S, 5S, 7H, AD, AS]

One pair. [3D, 3S, 6C, 7H, JS] < One pair. [6D, 9S, QS, AS, AC]

One pair. [8C, 9C, TS, TC, AS] < Two pair. [6H, 6C, 8S, 8D, 9D]

High card. [4D, 7C, 9C, JD, KC] < High card. [3S, 6D, 8C, KS, AS]

One pair. [3H, 6S, 8D, TC, TS] > High card. [3S, 7C, 9S, KC, AS]

Two pair. [4H, 4S, 8C, 8S, QC] > One pair. [3S, 6C, TC, AH, AC]

High card. [2H, 4D, 5C, 7D, AS] < One pair. [6S, TS, TC, QC, AD]

One pair. [4S, 8S, TH, QD, QC] > High card. [3D, 4H, TS, JH, AH]

One pair. [2D, 2C, 3H, 5C, 9S] < One pair. [3C, 7D, 9D, QD, QH]

One pair. [6C, 7S, 9H, KC, KD] > High card. [2D, 3C, 4D, TC, AS]

High card. [3D, 4D, 9D, JS, KS] < One pair. [3H, 3C, 7D, TH, QC]

High card. [2H, 3H, 5S, 8D, 9D] < One pair. [3C, 4C, 4H, 8C, TH]

One pair. [4S, 6S, TH, JC, JD] > One pair. [2D, 3D, 4D, 4C, 6C]

High card. [2D, 3S, 4H, TS, AC] < Two pair. [2C, 2H, 6S, 6H, JH]

Two pair. [8S, TD, TC, AD, AH] > High card. [6S, 7S, 9S, JH, AC]

High card. [4S, 6C, 8D, JD, KC] < High card. [5S, 7H, 9H, QH, AH]

High card. [5C, 8D, TS, JH, KD] < One pair. [3H, 5H, JS, AD, AS]

High card. [2D, 3D, 4H, 6C, 8C] < One pair. [5D, 5C, 7S, 8S, AD]

High card. [4S, 5D, 7S, 9C, TD] < One pair. [4C, 5H, 6C, 8C, 8S]

High card. [5C, 9C, JS, QH, AS] < One pair. [3D, 7C, JC, QS, QC]

One pair. [9C, JC, JH, QS, KH] > High card. [2C, 3D, TS, QC, AD]

One pair. [5D, 5C, 9S, JH, AC] > High card. [4C, 8C, TS, JD, KS]

One pair. [2D, 9H, KC, KH, AS] > High card. [2C, 3D, 4D, 5S, 6H]

High card. [2D, 8S, TH, JC, AH] < One pair. [3D, 3S, 7S, 8C, QH]

High card. [4H, 8H, JC, QD, AS] < One pair. [3C, 6D, 9S, KH, KS]

One pair. [4S, 7D, 9S, 9C, QH] < One pair. [4D, 7H, KH, KD, AC]

One pair. [6D, 9C, TH, AH, AD] > One pair. [4H, 9S, QH, KD, KS]

One pair. [6H, 7C, 9C, QD, QS] > One pair. [5S, 6D, 6S, 9D, JH]

High card. [2H, 5H, 8D, QD, AH] < One pair. [4H, 5S, JC, KS, KH]

High card. [2S, 5C, 8D, 9C, JS] < One pair. [3D, 8C, KC, AS, AH]

High card. [2H, 8H, 9S, JD, QS] < One pair. [4C, 5S, 5C, 8C, TH]

Two pair. [2S, 2C, 8C, QC, QS] > One pair. [3S, 4C, 9C, KS, KH]

One pair. [2D, 5D, 8S, AH, AD] > High card. [2C, 8C, TD, JS, KS]

One pair. [5S, 5H, 8H, TC, QC] < One pair. [4H, 6H, 9H, 9S, JD]

High card. [3C, 4H, 9H, JH, AH] < One pair. [2H, 4S, 4C, 8D, AC]

High card. [4D, 6D, 7D, 8S, TH] < Two pair. [7S, 7C, TC, QD, QS]

High card. [2D, 5H, 6D, JD, KH] < Two pair. [4H, 4S, JS, JH, QD]

High card. [3S, 4S, 7S, 9C, JH] < One pair. [4H, 8C, TS, TC, QC]

One pair. [4D, 9D, JH, QH, QS] > One pair. [2C, 2D, 3S, 6C, 7C]

One pair. [4H, 5C, 5H, 9S, JD] > High card. [2D, 4C, 9D, TS, AH]

High card. [2D, 5D, TS, JH, KS] < One pair. [7H, 8D, JS, AH, AS]

One pair. [8C, JS, KS, AH, AD] > High card. [2C, 5S, 6C, 8H, TH]

One pair. [2H, 5D, KS, AD, AC] > High card. [3D, 6H, 8H, TS, QC]

High card. [4H, 5H, 6D, 9C, TS] < Three of a kind. [4C, 6S, JS, JH, JD]

High card. [2C, 4H, 6D, JH, QH] < High card. [3C, 4C, 5D, QS, KC]

Three of a kind. [4H, 6H, 6C, 6S, 7H] > One pair. [2S, 8S, 8C, QC, KH]

One pair. [3H, 3D, 4H, 5D, KS] < One pair. [3S, 4D, TD, TS, AD]

One pair. [2C, 5S, 7C, 7D, 8S] > High card. [6C, 7S, 8C, JS, KS]

One pair. [2H, 3S, 5D, 5C, 7C] < One pair. [5H, 6D, 9C, 9H, QD]

High card. [2S, 8D, 9S, JS, KD] < One pair. [8C, 9D, TD, TS, AC]

High card. [2S, 5H, 8C, QD, AC] > High card. [3C, 4S, 7C, 9H, KS]

High card. [3H, 8S, 9C, KH, AS] < One pair. [4S, 4D, JS, QS, AD]

One pair. [2S, 4D, TD, AS, AD] > High card. [4C, 5H, 9H, JC, QS]

High card. [2D, 4H, 5D, 7C, TC] < High card. [3S, 4S, 6C, JS, KC]

High card. [2C, 4C, 5D, 9H, AC] < One pair. [3D, 8S, JD, QS, QH]

High card. [2C, 3C, 6H, 8S, QH] < One pair. [6D, TC, KD, AC, AH]

One pair. [3S, 4S, 6C, QC, QS] < One pair. [5C, 8D, KH, AC, AD]

One pair. [4C, 5S, KH, AC, AS] > High card. [2C, 5C, 8D, 9C, QC]

One pair. [3C, 8H, 8D, JD, KH] < Two pair. [5C, 9C, 9D, QD, QH]

High card. [2C, 4S, 7H, 8C, TS] < High card. [5H, 9C, TD, JC, QH]

High card. [2C, 4S, 7C, TH, JS] < High card. [6C, 7S, JD, KS, AS]

One pair. [7C, 7H, 9H, TC, JH] > One pair. [3D, 4D, 5H, 5D, 6D]

One pair. [2C, 2H, 9D, JH, QD] > High card. [3D, 5S, TD, KS, AD]

High card. [3S, 4D, TH, JD, QH] < High card. [4H, 6S, 7D, QS, KS]

One pair. [5S, 8D, 8H, TC, KS] > One pair. [2S, 2D, 4C, JH, AD]

High card. [2D, 3S, 5S, TC, JH] < One pair. [4C, 9D, 9S, QS, KD]

One pair. [3H, 9D, KH, AC, AS] > One pair. [6C, 6S, 9H, QD, KC]

One pair. [3D, 5C, 7S, 7D, 9H] > High card. [4H, 6S, 8H, TD, KC]

High card. [3C, 7H, 8H, TC, QD] < One pair. [4D, 6S, 6C, 7S, QH]

One pair. [4C, 6D, 6C, QD, AD] > High card. [5D, 7D, 9D, TS, KS]

One pair. [2H, 7S, 9S, JH, JD] > One pair. [5D, 8D, 8H, TS, KH]

One pair. [2D, 4C, 7D, 9S, 9D] > One pair. [5H, 6D, 6S, QD, AC]

One pair. [6D, 7S, JC, JH, QD] > High card. [2H, 4C, 6S, 7D, QS]

High card. [2H, 8C, TD, JH, KD] > High card. [2C, 5C, 7S, JS, QS]

High card. [4H, 5H, TC, JH, QD] < One pair. [3S, 5S, 5D, 8S, KH]

One pair. [2C, 5D, 7C, KS, KH] < Two pair. [6S, 6D, 9C, JH, JC]

One pair. [5H, 9C, JD, JS, AH] > High card. [2H, 4D, 5S, 6H, KC]

High card. [3C, 6H, TH, QC, AS] < One pair. [7C, 8S, 8C, 9C, TD]

One pair. [2C, 9C, QD, KC, KH] > High card. [3C, 4D, 7S, 9H, TS]

High card. [2S, 8C, 9C, TS, QC] < One pair. [3S, 3C, 9S, TD, QD]

High card. [4D, 9D, TH, JH, AH] < One pair. [2S, 6S, JD, JS, QH]

High card. [6C, 7D, 9H, QD, KD] < High card. [5D, 6S, 7H, 8H, AH]

High card. [2H, 3C, 4S, 5H, 8H] < One pair. [4H, 7S, QS, QH, AC]

High card. [3C, 4H, 7S, 9S, QS] < High card. [3S, 7C, 9D, KS, AH]

One pair. [2H, 2D, 5S, 6S, AD] > High card. [3C, 4S, 5H, 8C, TC]

High card. [4D, 6S, TS, JS, QH] < High card. [6D, 8S, JH, KS, AS]

One pair. [2C, 2S, 5H, 8S, TD] < One pair. [6C, TC, TS, KC, AS]

High card. [2H, 3H, 8H, TS, KC] < One pair. [4C, 5S, 7C, TH, TD]

Two pair. [7H, 7S, KD, KH, AD] < Three of a kind. [2D, 5D, 5H, 5S, 9C]

High card. [3D, 7S, 8C, 9S, AD] < One pair. [7C, 9C, QC, KD, KS]

High card. [3C, 4D, 8C, 9S, QC] < High card. [2C, 5C, 6C, QD, AS]

High card. [2H, 7S, 8S, JD, KC] < High card. [2S, 4D, 5C, 8D, AC]

High card. [2S, 3D, 9D, TC, QH] < One pair. [3S, 3C, 9H, TD, KS]

High card. [2C, 6S, 7H, KD, AC] < One pair. [3S, 5H, 6C, 6H, 8C]

High card. [6S, 8S, TC, QH, KH] < Two pair. [4H, 4D, 5D, TH, TS]

High card. [2C, 4H, 6H, 8C, JS] < High card. [2H, 3D, 7D, QD, AC]

High card. [2D, 5S, 6S, QS, KC] < One pair. [3H, 4H, 4C, TD, JH]

One pair. [5H, 7S, 7H, 8H, KH] > High card. [6H, 7D, TH, QS, KD]

One pair. [5H, 7C, KD, KH, AD] > One pair. [3C, 5S, 6D, 6C, TD]

High card. [5H, 7C, 8C, 9C, JD] < One pair. [2H, 3S, 7H, KC, KH]

One pair. [4H, 4D, 7S, 8S, AD] > High card. [3D, 5S, 7H, TH, QS]

One pair. [8D, 9S, TC, KS, KD] > High card. [2S, 5C, 6D, JD, AD]

High card. [2H, 6C, 7H, 8H, QD] < One pair. [6H, 7C, 9D, 9S, TC]

One pair. [4C, 6D, 6C, 7C, 8D] < One pair. [3C, TH, JS, JH, KH]

High card. [3S, 5S, 8S, 9H, JS] < One pair. [7S, 8H, KD, AS, AD]

High card. [2C, 5H, 7C, JH, KC] < Two pair. [9C, 9S, JS, AS, AD]

One pair. [2C, 6S, QD, AD, AC] > One pair. [3H, 7C, TH, KS, KD]

One pair. [4H, 4C, 8H, 9D, JD] < One pair. [7S, 8C, TS, KH, KC]

High card. [2H, 3S, 5S, 6H, 7S] < High card. [5C, 6D, 7D, KS, AD]

High card. [5S, 7H, 8C, 9H, QS] < One pair. [2H, 6C, 7S, 7D, TD]

High card. [5S, 9D, TD, QS, AC] > High card. [2D, 3D, 4D, TC, KC]

High card. [2H, 7D, TD, JD, QD] < High card. [3D, 4C, 5D, 7H, KC]

High card. [3H, 4C, 8S, QH, KD] < One pair. [5S, 5H, 9H, TC, QC]

One pair. [5H, 9C, TH, TS, QD] > High card. [2C, 5C, 9H, QH, AH]

One pair. [3C, 4D, 6S, 6C, AC] < Two pair. [2C, 2H, 3D, TD, TH]

High card. [4D, 5D, 9C, QC, AC] < One pair. [6D, 8D, 8C, KC, AD]

One pair. [3C, 4H, 8D, AD, AC] > High card. [7S, 8H, 9S, TD, JC]

High card. [2D, 4H, 9H, JS, QH] < Full house. [TH, TD, TC, KD, KS]

High card. [5S, 6S, 8D, 9S, TH] < One pair. [5H, 5C, 8S, KH, AS]

High card. [2S, 5S, 6S, 9S, JD] < One pair. [5D, 7S, 7H, 8S, 9D]

High card. [4C, 5D, 8C, 9D, AD] < One pair. [2C, 7D, TS, TC, KD]

High card. [4D, 5C, 8S, QS, KC] < One pair. [4S, 8D, JD, KH, KD]

One pair. [5C, 7D, QH, AS, AD] > One pair. [2H, 7H, 7C, 9S, TC]

High card. [2S, 7S, 8S, JD, KH] < One pair. [5D, 6C, 6D, QC, AD]

One pair. [3S, 6H, 8C, 8H, 9H] < One pair. [4H, TC, TD, JS, AH]

One pair. [2C, 2D, 4D, 7H, TS] > High card. [5D, 7C, 9C, TH, QC]

High card. [5D, 6C, 8H, TS, QC] < One pair. [4S, 5C, 5H, 9H, JH]

High card. [2D, 7H, JS, QC, AS] < Two pair. [2H, 4C, 4H, 8S, 8D]

High card. [3D, 6S, JS, KD, AC] > High card. [3C, 4S, 7H, TH, KC]

One pair. [5S, 6S, QH, QS, KH] < Three of a kind. [3C, 3S, 3H, 4H, QD]

High card. [4H, 7H, 8C, KH, AS] > High card. [3D, 5S, 6S, 9C, TS]

High card. [3H, 5S, 7C, 9C, QD] < One pair. [2C, 3D, 5H, AD, AC]

One pair. [2D, 4C, TD, TS, JH] > One pair. [3H, 3S, 7S, KH, AD]

One pair. [4C, 4D, 5H, 6S, AS] > High card. [2D, 3C, 6H, JC, KD]

High card. [2D, 3H, 6S, 8C, TH] < One pair. [4S, 5H, QH, AH, AD]

One pair. [2S, 7C, 7H, 9H, KC] > One pair. [3H, 5C, 5S, 6D, JC]

High card. [3C, 4H, 9C, TC, QD] > High card. [5S, 6D, 9H, TD, JH]

Two pair. [5C, 5D, 6S, 6C, 7C] > High card. [4S, 6H, 7H, 9H, AH]

One pair. [2H, 2C, 7D, KC, AD] > High card. [2S, 3S, 4C, 7H, 9S]

High card. [3S, 4C, 6S, 8S, TH] < One pair. [TD, JH, KS, AD, AS]

One pair. [4S, 4D, 5C, TD, AD] > High card. [5D, 6S, 7D, 9C, TC]

One pair. [3S, 4D, 4S, 5S, 8H] > One pair. [3H, 3D, 5C, 6H, AC]

High card. [3C, 4S, 9H, QS, AC] > High card. [4D, 5H, 8S, 9D, QH]

High card. [5H, 6C, TS, JC, AC] > High card. [7C, 8C, 9C, JD, QD]

One pair. [2D, 8S, 8H, 9C, JD] < One pair. [3C, 6H, 8D, QC, QH]

High card. [2H, 5H, 6H, JS, KS] < One pair. [3H, 6D, 7C, QH, QS]

High card. [3H, 4S, 7H, TC, QC] < High card. [2H, 3S, 8C, JS, KH]

High card. [4C, 5S, 8H, 9H, AH] < One pair. [3H, 7S, JD, JC, AC]

High card. [2D, 3C, 4C, 5S, 6C] < One pair. [3S, 3D, 4S, JD, QS]

High card. [2D, 5H, TC, KS, AH] < One pair. [6D, 6H, 7H, 8C, AD]

One pair. [3C, 6C, 7S, 7C, JD] < One pair. [6D, 8H, KS, KH, AH]

One pair. [3H, 7D, 8H, 8S, AH] > High card. [2D, 5H, 7H, 9D, QS]

High card. [4H, 7S, 8S, JD, AC] < One pair. [9S, 9D, QH, KS, AS]

High card. [2C, 5S, 7S, 8S, JH] < High card. [4C, JC, QS, KD, AH]

High card. [2S, 4H, 8D, 9H, AH] < One pair. [6H, TS, TD, JD, QH]

High card. [3H, 4H, 6D, JC, QS] < Two pair. [7S, 8S, 8D, 9C, 9D]

One pair. [4S, 4C, 5H, 9S, TD] < Two pair. [3H, 3D, 7H, 8C, 8D]

One pair. [2C, 2S, 3S, QS, KH] > High card. [3C, 4S, 7S, TD, QD]

High card. [4D, 5S, 7C, TD, KH] < One pair. [4C, 6C, 7H, AC, AS]

High card. [2S, 5H, 6D, 9H, JD] < One pair. [2C, 2H, 8S, TD, QS]

High card. [2S, 6H, 7S, 9H, TS] < Two pair. [4H, 4C, 5D, 5S, JC]

High card. [2C, 3S, 4H, 5H, 7D] < One pair. [6D, 8H, JC, JS, QH]

One pair. [3S, 4C, 7C, QH, QD] > One pair. [5S, 8S, TH, TS, AD]

One pair. [2S, 9H, TC, TD, JC] > One pair. [3S, 3D, 7D, TH, QH]

High card. [4C, 5C, 7D, 8S, JH] < One pair. [3S, 3H, 6S, 8H, KC]

High card. [3H, TC, JC, QH, KH] < High card. [2C, 5H, 6H, TH, AC]

One pair. [2H, 2C, 9D, QS, AS] < Two pair. [2S, 6S, 6C, 8C, 8S]

High card. [4H, 7D, 9H, TH, QC] < High card. [3C, 7S, QS, KD, AC]

High card. [4D, 5S, 6S, 8H, JH] < High card. [3S, 9S, QC, KS, AS]

High card. [2D, 6S, 7S, TC, JD] < One pair. [3H, 7D, 9H, KC, KD]

One pair. [2H, 4D, 4S, 7C, KH] > High card. [3H, 7D, JS, QD, KC]

High card. [3C, 4C, 9D, JC, AS] > High card. [4D, 6C, 8H, JS, QD]

High card. [3S, 4C, 6C, JS, AH] < One pair. [3D, 6D, 9C, 9H, JH]

High card. [2D, 5S, 7H, 8C, 9H] < High card. [2S, 6H, 9C, TC, KS]

